rate	id
0.377159472	2013
0.377159472	2016
0.377159472	2020
0.377159472	2050
0.377159472	2060
0.377159472	2068
0.377159472	2070
0.377159472	2090
0.377159472	2100
0.377159472	2105
0.377159472	2110
0.377159472	2122
0.377159472	2130
0.377159472	2150
0.377159472	2164
0.377159472	2170
0.377159472	2180
0.377159472	2185
0.377159472	2188
0.377159472	2195
0.377159472	2198
0.377159472	2220
0.377159472	2230
0.377159472	2240
0.377159472	2261
0.377159472	2270
0.377159472	2275
0.377159472	2282
0.377159472	2290
0.23956855	1001
0.195653098	1003
0.466602502	1005
0.214220393	1007
0.084699023	1009
0.750904063	1011
0.427864134	1013
0.278558764	1015
0.418275512	1017
0.1451014	1019
0.159353602	1021
0.427765548	1023
0.441558442	1025
0.187766281	1027
0.104715248	1029
0.204455711	1031
0.296272233	1033
0.469050894	1035
0.340800306	1037
0.15039828	1039
0.265994882	1041
0.100059016	1043
0.236772842	1045
0.684783769	1047
0.141148509	1049
0.228586912	1051
0.308814829	1053
0.238073331	1055
0.165690581	1057
0.18377248	1059
0.130542928	1061
0.823940765	1063
0.595755306	1065
0.285144069	1067
0.250939805	1069
0.17623286	1071
0.522493115	1073
0.149329101	1075
0.254476593	1077
0.246939752	1079
0.363928002	1081
0.237055838	1083
0.731276213	1085
0.827274806	1087
0.39150828	1089
0.512148338	1091
0.110904585	1093
0.140511941	1095
0.41881545	1097
0.42317133	1099
0.620363321	1101
0.224360385	1103
0.727497621	1105
0.418369497	1107
0.386871401	1109
0.226061204	1111
0.500470318	1113
0.231100314	1117
0.146295174	1115
0.741511501	1119
0.364501174	1121
0.284857328	1123
0.388529887	1125
0.153404233	1127
0.278615167	1129
0.710254307	1131
0.084934178	1133
0.314415437	5001
0.299987542	5003
0.212701819	5005
0.295919883	5007
0.183823529	5009
0.364113907	5011
0.282666667	5013
0.312875375	5015
0.566401543	5017
0.431081889	5019
0.334392774	5021
0.175551471	5023
0.21915732	5025
0.355324205	5027
0.338777593	5029
0.299531	5031
0.202031144	5033
0.529687302	5035
0.292050944	5037
0.425027362	5039
0.526975864	5041
0.360805861	5043
0.313281857	5045
0.205434458	5047
0.224915683	5049
0.304509507	5051
0.205251641	5053
0.211898488	5055
0.339490263	5057
0.265509945	5059
0.291324989	5061
0.214089117	5063
0.205893254	5065
0.310818771	5067
0.612116965	5069
0.269089697	5071
0.362610229	5073
